done,sequence,topic-id,topic-name,course-code,topic-code,topic-number,unit,module,layer,min-steps-to-334,max-steps-to-334,direct-prerequisite-ids
0,123,3996,Comparing Decimals Up to Hundredths,4GM,4GM.6.8.3,6.8.3,6. Fractions & Decimals,6.8. Decimals,15,12,40,3915;3919
0,124,2342,Converting Decimals to Fractions,4GM,4GM.6.8.6,6.8.6,6. Fractions & Decimals,6.8. Decimals,15,14,42,2364;3886;3914
0,125,3916,Adding Decimal Fractions,4GM,4GM.6.8.8,6.8.8,6. Fractions & Decimals,6.8. Decimals,15,17,36,2351;3882
0,126,539,Adding Fractions and Whole Numbers,5GM,5GM.3.1.2,3.1.2,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,15,15,37,543;2351
0,127,2442,Negative Numbers,6GM,6GM.5.1.1,5.1.1,5. The Number System- Rational Numbers,5.1. Negative Numbers,15,12,35,3915
0,128,3537,Evaluating Larger Exponents,6GM,6GM.5.4.3,5.4.3,5. The Number System- Rational Numbers,5.4. Exponents,15,14,27,383;2321
0,129,3920,More Multi-Digit by One-Digit Division Using Area Models,4GM,4GM.5.2.3,5.2.3,5. Division,5.2. Dividing Whole Numbers Using Models,16,13,37,2393;2426
0,130,3925,Two-Digit by One-Digit Division With Remainders Using Partial Quotients,4GM,4GM.5.2.5,5.2.5,5. Division,5.2. Dividing Whole Numbers Using Models,16,13,37,2391;2424
0,131,235,Subtracting Mixed Numbers With Like Denominators,4GM,4GM.6.6.2,6.6.2,6. Fractions & Decimals,6.6. Adding Mixed Numbers,16,16,35,2352;3934
0,132,2360,Multiplying Fractions by Whole Numbers,4GM,4GM.6.7.3,6.7.3,6. Fractions & Decimals,6.7. Multiplying Fractions,16,12,35,3901;3968
0,133,545,Subtracting Fractions and Whole Numbers,5GM,5GM.3.1.4,3.1.4,3. Adding & Subtracting Fractions,3.1. Adding and Subtracting Fractions and Whole Numbers,16,14,36,539;544
0,134,2353,Adding Fractions With Unlike Denominators,5GM,5GM.3.2.4,3.2.4,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,16,14,36,539;2374
0,135,2282,The Place Value System With Decimals,5GM,5GM.5.1.1,5.1.1,5. Decimals,5.1. Decimals,16,13,41,2342
0,136,2388,Reciprocals,6GM,6GM.3.2.1,3.2.1,3. The Number System- Dividing Fractions,3.2. Dividing Fractions,16,11,33,3901
0,137,2281,Absolute Value,6GM,6GM.5.1.2,5.1.2,5. The Number System- Rational Numbers,5.1. Negative Numbers,16,11,34,2442
0,138,2444,Comparing Negative Numbers,6GM,6GM.5.1.3,5.1.3,5. The Number System- Rational Numbers,5.1. Negative Numbers,16,13,29,2442;3919
0,139,2475,Evaluating Whole Number Expressions Containing Exponents,6GM,6GM.5.4.7,5.4.7,5. The Number System- Rational Numbers,5.4. Exponents,16,13,26,2398;3537
0,140,327,Subtracting a Positive Number From a Smaller Positive Number,PAL,PAL.2.1.1,2.1.1,2. The Number System,2.1. Addition and Subtraction of Rational Numbers,16,14,33,2442;3907
0,141,92,The Cartesian Coordinate System,PAL,PAL.5.4.1,5.4.1,5. Equations & Inequalities,5.4. Graphs of Linear Equations,16,11,24,63;2410;2442
0,142,2425,Multi-Digit by One-Digit Division Using Partial Quotients,4GM,4GM.5.2.6,5.2.6,5. Division,5.2. Dividing Whole Numbers Using Models,17,12,36,3920;3925
0,143,2362,Subtracting Mixed Numbers With Like Denominators Using Improper Fractions,4GM,4GM.6.6.3,6.6.3,6. Fractions & Decimals,6.6. Adding Mixed Numbers,17,15,34,235;538;3876;3901
0,144,2458,Strategies to Simplify Whole Number and Fraction Multiplication,4GM,4GM.6.7.5,6.7.5,6. Fractions & Decimals,6.7. Multiplying Fractions,17,12,34,2360;3923
0,145,236,Units of Length,4GM,4GM.7.1.1,7.1.1,7. Measurement & Data,7.1. Units,17,16,18,2360
0,146,4196,Units of Mass,4GM,4GM.7.1.2,7.1.2,7. Measurement & Data,7.1. Units,17,14,15,2360
0,147,4197,Units of Time,4GM,4GM.7.1.3,7.1.3,7. Measurement & Data,7.1. Units,17,14,15,2360
0,148,4198,Units of Volume,4GM,4GM.7.1.4,7.1.4,7. Measurement & Data,7.1. Units,17,17,18,2360
0,149,2357,Subtracting Fractions With Unlike Denominators,5GM,5GM.3.2.5,3.2.5,3. Adding & Subtracting Fractions,3.2. Adding and Subtracting Fractions,17,13,35,545;2353;2372
0,150,2354,Adding Mixed Numbers With Unlike Denominators,5GM,5GM.3.3.1,3.3.1,3. Adding & Subtracting Fractions,3.3. Adding and Subtracting Mixed Numbers,17,16,35,2352;2353
0,151,2378,Multiplying Fractions,5GM,5GM.4.1.3,4.1.3,4. Multiplying & Dividing Fractions,4.1. Multiplying Fractions,17,11,34,2360;3079
0,152,2283,Comparing Place Values With Decimals,5GM,5GM.5.1.2,5.1.2,5. Decimals,5.1. Decimals,17,12,40,2282;2322
0,153,2344,Equivalent Decimals,5GM,5GM.5.1.6,5.1.6,5. Decimals,5.1. Decimals,17,12,40,2282
0,154,535,Two-Digit by One-Digit Division,6GM,6GM.2.1.1,2.1.1,2. The Number System- Whole Number Division,2.1. Dividing Whole Numbers by One-Digit Numbers,17,12,36,3925
