layer,topic-id,topic-code,topic-name,lesson-path,source-path
41,38,PAL.5.3.4,Solving One-Step Linear Inequalities,,
42,4021,PAL.5.3.5,Solving Two-Step Inequalities,,
43,4031,PAL.5.3.6,Representing Solutions to Inequalities on Number Lines,,
44,4034,PAL.5.3.7,Further Solving Linear Inequalities,,
33,92,PAL.5.4.1,The Cartesian Coordinate System,,
36,573,PAL.5.4.2,Distances Between Points in the Coordinate Plane,,
34,94,PAL.5.4.3,Two-Variable Linear Equations and Their Solutions,,
35,95,PAL.5.4.4,Graphing Linear Equations,,
36,97,PAL.5.4.5,Horizontal and Vertical Lines,,
37,396,PAL.5.4.6,Calculating Slopes of Straight Lines,,
38,1240,PAL.5.4.7,Equations of Lines in Slope-Intercept Form,,
39,398,PAL.5.4.8,Properties of Lines Given in Slope-Intercept Form,,
41,2225,PAL.5.5.1,Introduction to Systems of Linear Equations,,
